Gene	SRR8667880
ENSRNA049483185	0
ENSRNA049483194	0
ENSRNA049483199	0
ENSRNA049483200	0
ENSRNA049483202	0
ENSRNA049483205	0
ENSRNA049483207	0
ENSRNA049483441	0
ENSRNA049483575	0
ENSRNA049483576	0
ENSRNA049483578	0
ENSRNA049483580	0
ENSRNA049483582	0
ENSRNA049483584	0
ENSRNA049483588	0
ENSRNA049483591	0
ENSRNA049483594	0
ENSRNA049483596	0
ENSRNA049483597	1
ENSRNA049483598	0
ENSRNA049483600	0
ENSRNA049483602	0
ENSRNA049483603	0
ENSRNA049483605	0
ENSRNA049483607	0
ENSRNA049483609	0
ENSRNA049483611	0
ENSRNA049483612	0
ENSRNA049483615	0
ENSRNA049483618	0
ENSRNA049483619	0
ENSRNA049483622	0
ENSRNA049483624	0
ENSRNA049483625	0
ENSRNA049483626	0
ENSRNA049483627	0
ENSRNA049483628	0
ENSRNA049483629	0
ENSRNA049483632	0
ENSRNA049483635	0
ENSRNA049483637	0
ENSRNA049483639	0
ENSRNA049483640	0
ENSRNA049483650	0
ENSRNA049483653	0
ENSRNA049483655	64
ENSRNA049483658	0
ENSRNA049483659	1
ENSRNA049483660	0
ENSRNA049483662	2
ENSRNA049483664	0
ENSRNA049483666	0
ENSRNA049483667	0
ENSRNA049483670	0
ENSRNA049483671	0
ENSRNA049483674	0
ENSRNA049483675	0
ENSRNA049483677	0
ENSRNA049483678	0
ENSRNA049483679	0
ENSRNA049483680	0
ENSRNA049483681	0
ENSRNA049483683	0
ENSRNA049483684	8
ENSRNA049483688	1
ENSRNA049483690	66
ENSRNA049483692	1
ENSRNA049483695	0
ENSRNA049483697	8
ENSRNA049483698	16
ENSRNA049483706	0
ENSRNA049483710	13
ENSRNA049483713	2
ENSRNA049483717	15
ENSRNA049483719	1
ENSRNA049483720	0
ENSRNA049483723	2
ENSRNA049483725	2
ENSRNA049483727	5
ENSRNA049483729	0
ENSRNA049483730	8
ENSRNA049483731	0
ENSRNA049483739	0
ENSRNA049483744	6
ENSRNA049483746	0
ENSRNA049483749	3
ENSRNA049483752	0
ENSRNA049483754	0
ENSRNA049483755	36
ENSRNA049483759	0
ENSRNA049483763	0
ENSRNA049483767	0
ENSRNA049483773	2
ENSRNA049483775	9
ENSRNA049483777	0
ENSRNA049483780	0
ENSRNA049483783	0
ENSRNA049483787	0
ENSRNA049483793	0
ENSRNA049483794	0
ENSRNA049483796	14
ENSRNA049483819	0
ENSRNA049483820	0
ENSRNA049483822	0
ENSRNA049483927	0
ENSRNA049484243	2
ENSRNA049484246	0
ENSRNA049484263	0
ENSRNA049484264	0
ENSRNA049484277	0
ENSRNA049484279	0
ENSRNA049484288	2
ENSRNA049484293	0
ENSRNA049484440	0
ENSRNA049484442	3
ENSRNA049484443	0
ENSRNA049484445	0
