TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS2D02G414600,AP2/EREBP,1,0,1,1
TraesCS2D02G425700,AP2/EREBP,1,1,0,0
TraesCS2D02G515900,AP2/EREBP,1,2,-1,1
TraesCS2D02G543900,AP2/EREBP,1,3,-2,2
TraesCS3A02G099200,AP2/EREBP,1,1,0,0
TraesCS3A02G328000,AP2/EREBP,1,1,0,0
TraesCS3A02G379900,AP2/EREBP,1,1,0,0
TraesCS3B02G115400,AP2/EREBP,1,1,0,0
TraesCS3B02G158800,AP2/EREBP,1,15,-14,14
TraesCS3B02G293000,AP2/EREBP,1,0,1,1
TraesCS3D02G099500,AP2/EREBP,1,1,0,0
TraesCS3D02G260100,AP2/EREBP,1,1,0,0
TraesCS3D02G321500,AP2/EREBP,1,1,0,0
TraesCS3D02G321700,AP2/EREBP,1,1,0,0
TraesCS3D02G372900,AP2/EREBP,1,3,-2,2
TraesCS4A02G005400,AP2/EREBP,1,2,-1,1
TraesCS4B02G299700,AP2/EREBP,1,0,1,1
TraesCS4D02G002400,AP2/EREBP,1,0,1,1
TraesCS4D02G120200,AP2/EREBP,1,1,0,0
TraesCS4D02G291300,AP2/EREBP,1,2,-1,1
TraesCS4D02G298600,AP2/EREBP,1,1,0,0
TraesCS5A02G141700,AP2/EREBP,1,0,1,1
TraesCS5A02G215900,AP2/EREBP,1,1,0,0
TraesCS5A02G473800,AP2/EREBP,1,1,0,0
TraesCS5B02G315500,AP2/EREBP,1,4,-3,3
TraesCS5B02G344200,AP2/EREBP,1,0,1,1
TraesCS6A02G131200,AP2/EREBP,1,1,0,0
TraesCS6A02G235100,AP2/EREBP,1,1,0,0
TraesCS6A02G301900,AP2/EREBP,1,2,-1,1
TraesCS6A02G306300,AP2/EREBP,1,0,1,1
TraesCS6B02G159600,AP2/EREBP,1,1,0,0
TraesCS6B02G280800,AP2/EREBP,1,2,-1,1
TraesCS6B02G334700,AP2/EREBP,1,0,1,1
TraesCS6D02G161300,AP2/EREBP,1,1,0,0
TraesCS6D02G225700,AP2/EREBP,1,6,-5,5
TraesCS6D02G281200,AP2/EREBP,1,3,-2,2
TraesCS6D02G285400,AP2/EREBP,1,0,1,1
TraesCS7A02G128800,AP2/EREBP,1,0,1,1
TraesCS7A02G158000,AP2/EREBP,1,0,1,1
TraesCS7A02G292900,AP2/EREBP,1,1,0,0
TraesCS7B02G074500,AP2/EREBP,1,1,0,0
TraesCS7D02G127600,AP2/EREBP,1,2,-1,1
TraesCS7D02G158500,AP2/EREBP,1,0,1,1
TraesCS7D02G170600,AP2/EREBP,1,4,-3,3
TraesCS7D02G250700,AP2/EREBP,1,4,-3,3
TraesCS7D02G292500,AP2/EREBP,1,1,0,0
TraesCS1B02G173700,ARF,1,0,1,1
TraesCS2A02G547800,ARF,1,1,0,0
TraesCS2B02G519200,ARF,1,0,1,1
TraesCS2B02G578500,ARF,1,2,-1,1
TraesCS3A02G159200,ARF,1,1,0,0
TraesCS3A02G292400,ARF,1,0,1,1
TraesCS3A02G442000,ARF,1,0,1,1
TraesCS3A02G449300,ARF,1,0,1,1
TraesCS3B02G190100,ARF,1,0,1,1
TraesCS3B02G475800,ARF,1,0,1,1
TraesCS3D02G166700,ARF,1,1,0,0
TraesCS3D02G245400,ARF,1,2,-1,1
TraesCS3D02G292100,ARF,1,0,1,1
TraesCS5A02G038300,ARF,1,1,0,0
TraesCS5B02G039800,ARF,1,1,0,0
